Part,Source Plate Name,Source Well,Destination ID,Destination Plate Name,Destination Well,Volume
"['Pd_000247', '', 'Plasmid', Decimal('1.00'), Decimal('30.00'), 1, 20, 0.8, 'E_pSCIP_coloniesinwater_384PP', 'A1']",E_pSCIP_coloniesinwater_384PP,A1,0,PCR_0000043,A1,800
"['Pr_000898', 'REV', 'Primer', Decimal('100.00'), Decimal('30.00'), 5, 849, 0.02, 'pSCIP_guideBaits', 'F19']",pSCIP_guideBaits,F19,0,PCR_0000043,A1,20
"['Pr_000820', 'REV', 'Primer', Decimal('100.00'), Decimal('30.00'), 5, 849, 0.02, 'pSCIP_guideBaits', 'C13']",pSCIP_guideBaits,C13,0,PCR_0000043,A1,20
"['Pr_000975', 'FWD', 'Primer', Decimal('100.00'), Decimal('55.00'), 160, 1049, 0.04, 'pSCIP_guideBaits', 'P21']",pSCIP_guideBaits,P21,0,PCR_0000043,A1,40
"['Pd_000367', '', 'Plasmid', Decimal('1.00'), Decimal('30.00'), 1, 20, 0.8, 'E_pSCIP_coloniesinwater_384PP', 'A2']",E_pSCIP_coloniesinwater_384PP,A2,0,PCR_0000043,B1,800
"['Pr_000883', 'REV', 'Primer', Decimal('200.00'), Decimal('30.00'), 5, 849, 0.02, 'pSCIP_guideBaits', 'F4']",pSCIP_guideBaits,F4,0,PCR_0000043,B1,20
"['Pr_000805', 'REV', 'Primer', Decimal('100.00'), Decimal('30.00'), 5, 849, 0.02, 'pSCIP_guideBaits', 'B22']",pSCIP_guideBaits,B22,0,PCR_0000043,B1,20
"['Pr_000975', 'FWD', 'Primer', Decimal('100.00'), Decimal('55.00'), 160, 1048, 0.04, 'pSCIP_guideBaits', 'P21']",pSCIP_guideBaits,P21,0,PCR_0000043,B1,40
"['Pd_000248', '', 'Plasmid', Decimal('1.00'), Decimal('30.00'), 1, 20, 0.8, 'E_pSCIP_coloniesinwater_384PP', 'A3']",E_pSCIP_coloniesinwater_384PP,A3,0,PCR_0000043,C1,800
"['Pr_000898', 'REV', 'Primer', Decimal('100.00'), Decimal('30.00'), 5, 848, 0.02, 'pSCIP_guideBaits', 'F19']",pSCIP_guideBaits,F19,0,PCR_0000043,C1,20
"['Pr_000820', 'REV', 'Primer', Decimal('100.00'), Decimal('30.00'), 5, 848, 0.02, 'pSCIP_guideBaits', 'C13']",pSCIP_guideBaits,C13,0,PCR_0000043,C1,20
"['Pr_000975', 'FWD', 'Primer', Decimal('100.00'), Decimal('55.00'), 160, 1047, 0.04, 'pSCIP_guideBaits', 'P21']",pSCIP_guideBaits,P21,0,PCR_0000043,C1,40
"['Pd_000368', '', 'Plasmid', Decimal('1.00'), Decimal('30.00'), 1, 20, 0.8, 'E_pSCIP_coloniesinwater_384PP', 'A4']",E_pSCIP_coloniesinwater_384PP,A4,0,PCR_0000043,D1,800
"['Pr_000883', 'REV', 'Primer', Decimal('200.00'), Decimal('30.00'), 5, 848, 0.02, 'pSCIP_guideBaits', 'F4']",pSCIP_guideBaits,F4,0,PCR_0000043,D1,20
"['Pr_000805', 'REV', 'Primer', Decimal('100.00'), Decimal('30.00'), 5, 848, 0.02, 'pSCIP_guideBaits', 'B22']",pSCIP_guideBaits,B22,0,PCR_0000043,D1,20
"['Pr_000975', 'FWD', 'Primer', Decimal('100.00'), Decimal('55.00'), 160, 1046, 0.04, 'pSCIP_guideBaits', 'P21']",pSCIP_guideBaits,P21,0,PCR_0000043,D1,40
"['Pd_000249', '', 'Plasmid', Decimal('1.00'), Decimal('30.00'), 1, 20, 0.8, 'E_pSCIP_coloniesinwater_384PP', 'A5']",E_pSCIP_coloniesinwater_384PP,A5,0,PCR_0000043,E1,800
"['Pr_000898', 'REV', 'Primer', Decimal('100.00'), Decimal('30.00'), 5, 847, 0.02, 'pSCIP_guideBaits', 'F19']",pSCIP_guideBaits,F19,0,PCR_0000043,E1,20
