Part,Source Plate Name,Source Well,Destination ID,Destination Plate Name,Destination Well,Volume
Pd_000247,E_pSCIP_coloniesinwater_384PP,A1,0,PCR_0000043,A1,400
Pr_000898,pSCIP_guideBaits,F19,0,PCR_0000043,A1,2
Pr_000820,pSCIP_guideBaits,C13,0,PCR_0000043,A1,2
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,A1,2
Pd_000367,E_pSCIP_coloniesinwater_384PP,A2,0,PCR_0000043,B1,400
Pr_000883,pSCIP_guideBaits,F4,0,PCR_0000043,B1,2
Pr_000805,pSCIP_guideBaits,B22,0,PCR_0000043,B1,2
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,B1,2
Pd_000248,E_pSCIP_coloniesinwater_384PP,A3,0,PCR_0000043,C1,400
Pr_000898,pSCIP_guideBaits,F19,0,PCR_0000043,C1,2
Pr_000820,pSCIP_guideBaits,C13,0,PCR_0000043,C1,2
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,C1,2
Pd_000368,E_pSCIP_coloniesinwater_384PP,A4,0,PCR_0000043,D1,400
Pr_000883,pSCIP_guideBaits,F4,0,PCR_0000043,D1,2
Pr_000805,pSCIP_guideBaits,B22,0,PCR_0000043,D1,2
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,D1,2
Pd_000249,E_pSCIP_coloniesinwater_384PP,A5,0,PCR_0000043,E1,400
Pr_000898,pSCIP_guideBaits,F19,0,PCR_0000043,E1,2
Pr_000820,pSCIP_guideBaits,C13,0,PCR_0000043,E1,2
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,E1,2
Pd_000369,E_pSCIP_coloniesinwater_384PP,A6,0,PCR_0000043,F1,400
Pr_000883,pSCIP_guideBaits,F4,0,PCR_0000043,F1,2
Pr_000805,pSCIP_guideBaits,B22,0,PCR_0000043,F1,2
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,F1,2
Pd_000250,E_pSCIP_coloniesinwater_384PP,A7,0,PCR_0000043,G1,400
Pr_000898,pSCIP_guideBaits,F19,0,PCR_0000043,G1,2
Pr_000820,pSCIP_guideBaits,C13,0,PCR_0000043,G1,2
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,G1,2
Pd_000370,E_pSCIP_coloniesinwater_384PP,A8,0,PCR_0000043,H1,400
Pr_000883,pSCIP_guideBaits,F4,0,PCR_0000043,H1,2
Pr_000805,pSCIP_guideBaits,B22,0,PCR_0000043,H1,2
