Part,Source Plate Name,Source Well,Destination ID,Destination Plate Name,Destination Well,Volume
pSCIP_CD197-1_gB_v1,E_pSCIP_coloniesinwater_384PP,A1,0,PCR_0000043,A1,800
CD197-1BR,pSCIP_guideBaits,F19,0,PCR_0000043,A1,20
CD197-1R,pSCIP_guideBaits,C13,0,PCR_0000043,A1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,A1,40
pSCIP_CD69-1_gB_v1,E_pSCIP_coloniesinwater_384PP,A2,0,PCR_0000043,B1,800
CD69-1BR,pSCIP_guideBaits,F4,0,PCR_0000043,B1,20
CD69-1R,pSCIP_guideBaits,B22,0,PCR_0000043,B1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,B1,40
pSCIP_CD197-1_gB_v2,E_pSCIP_coloniesinwater_384PP,A3,0,PCR_0000043,C1,800
CD197-1BR,pSCIP_guideBaits,F19,0,PCR_0000043,C1,20
CD197-1R,pSCIP_guideBaits,C13,0,PCR_0000043,C1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,C1,40
pSCIP_CD69-1_gB_v2,E_pSCIP_coloniesinwater_384PP,A4,0,PCR_0000043,D1,800
CD69-1BR,pSCIP_guideBaits,F4,0,PCR_0000043,D1,20
CD69-1R,pSCIP_guideBaits,B22,0,PCR_0000043,D1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,D1,40
pSCIP_CD197-1_gB_v3,E_pSCIP_coloniesinwater_384PP,A5,0,PCR_0000043,E1,800
CD197-1BR,pSCIP_guideBaits,F19,0,PCR_0000043,E1,20
CD197-1R,pSCIP_guideBaits,C13,0,PCR_0000043,E1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,E1,40
pSCIP_CD69-1_gB_v3,E_pSCIP_coloniesinwater_384PP,A6,0,PCR_0000043,F1,800
CD69-1BR,pSCIP_guideBaits,F4,0,PCR_0000043,F1,20
CD69-1R,pSCIP_guideBaits,B22,0,PCR_0000043,F1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,F1,40
pSCIP_CD197-1_gB_v4,E_pSCIP_coloniesinwater_384PP,A7,0,PCR_0000043,G1,800
CD197-1BR,pSCIP_guideBaits,F19,0,PCR_0000043,G1,20
CD197-1R,pSCIP_guideBaits,C13,0,PCR_0000043,G1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,G1,40
pSCIP_CD69-1_gB_v4,E_pSCIP_coloniesinwater_384PP,A8,0,PCR_0000043,H1,800
CD69-1BR,pSCIP_guideBaits,F4,0,PCR_0000043,H1,20
CD69-1R,pSCIP_guideBaits,B22,0,PCR_0000043,H1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,H1,40
pSCIP_CD197-2_gB_v1,E_pSCIP_coloniesinwater_384PP,A9,0,PCR_0000043,A2,800
CD197-2BR,pSCIP_guideBaits,F20,0,PCR_0000043,A2,20
CD197-2R,pSCIP_guideBaits,C14,0,PCR_0000043,A2,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,A2,40
pSCIP_CD69-2_gB_v1,E_pSCIP_coloniesinwater_384PP,A10,0,PCR_0000043,B2,800
CD69-2BR,pSCIP_guideBaits,F5,0,PCR_0000043,B2,20
CD69-2R,pSCIP_guideBaits,B23,0,PCR_0000043,B2,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,B2,40
pSCIP_CD197-2_gB_v2,E_pSCIP_coloniesinwater_384PP,A11,0,PCR_0000043,C2,800
CD197-2BR,pSCIP_guideBaits,F20,0,PCR_0000043,C2,20
CD197-2R,pSCIP_guideBaits,C14,0,PCR_0000043,C2,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,C2,40
pSCIP_CD69-2_gB_v2,E_pSCIP_coloniesinwater_384PP,A12,0,PCR_0000043,D2,800
CD69-2BR,pSCIP_guideBaits,F5,0,PCR_0000043,D2,20
CD69-2R,pSCIP_guideBaits,B23,0,PCR_0000043,D2,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,D2,40
pSCIP_CD197-2_gB_v3,E_pSCIP_coloniesinwater_384PP,A13,0,PCR_0000043,E2,800
CD197-2BR,pSCIP_guideBaits,F20,0,PCR_0000043,E2,20
CD197-2R,pSCIP_guideBaits,C14,0,PCR_0000043,E2,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,E2,40
pSCIP_CD69-2_gB_v3,E_pSCIP_coloniesinwater_384PP,A14,0,PCR_0000043,F2,800
CD69-2BR,pSCIP_guideBaits,F5,0,PCR_0000043,F2,20
CD69-2R,pSCIP_guideBaits,B23,0,PCR_0000043,F2,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,F2,40
pSCIP_CD197-2_gB_v4,E_pSCIP_coloniesinwater_384PP,A15,0,PCR_0000043,G2,800
CD197-2BR,pSCIP_guideBaits,F20,0,PCR_0000043,G2,20
CD197-2R,pSCIP_guideBaits,C14,0,PCR_0000043,G2,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,G2,40
pSCIP_CD69-2_gB_v4,E_pSCIP_coloniesinwater_384PP,A16,0,PCR_0000043,H2,800
CD69-2BR,pSCIP_guideBaits,F5,0,PCR_0000043,H2,20
CD69-2R,pSCIP_guideBaits,B23,0,PCR_0000043,H2,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,H2,40
pSCIP_CD197-3_gB_v1,E_pSCIP_coloniesinwater_384PP,A17,0,PCR_0000043,A3,800
CD197-3BR,pSCIP_guideBaits,F21,0,PCR_0000043,A3,20
CD197-3R,pSCIP_guideBaits,C15,0,PCR_0000043,A3,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,A3,40
pSCIP_CD69-3_gB_v1,E_pSCIP_coloniesinwater_384PP,A18,0,PCR_0000043,B3,800
CD69-3BR,pSCIP_guideBaits,F6,0,PCR_0000043,B3,20
CD69-3R,pSCIP_guideBaits,B24,0,PCR_0000043,B3,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,B3,40
pSCIP_CD197-3_gB_v2,E_pSCIP_coloniesinwater_384PP,A19,0,PCR_0000043,C3,800
CD197-3BR,pSCIP_guideBaits,F21,0,PCR_0000043,C3,20
CD197-3R,pSCIP_guideBaits,C15,0,PCR_0000043,C3,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,C3,40
pSCIP_CD69-3_gB_v2,E_pSCIP_coloniesinwater_384PP,A20,0,PCR_0000043,D3,800
CD69-3BR,pSCIP_guideBaits,F6,0,PCR_0000043,D3,20
CD69-3R,pSCIP_guideBaits,B24,0,PCR_0000043,D3,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,D3,40
pSCIP_CD197-3_gB_v3,E_pSCIP_coloniesinwater_384PP,A21,0,PCR_0000043,E3,800
CD197-3BR,pSCIP_guideBaits,F21,0,PCR_0000043,E3,20
CD197-3R,pSCIP_guideBaits,C15,0,PCR_0000043,E3,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,E3,40
pSCIP_CD69-3_gB_v3,E_pSCIP_coloniesinwater_384PP,A22,0,PCR_0000043,F3,800
