Part,Source Plate Name,Source Well,Destination ID,Destination Plate Name,Destination Well,Volume
pSCIP_CD197-1_gB_v1,E_pSCIP_coloniesinwater_384PP,A1,0,PCR_0000059,A1,800
CD197-1BR,pSCIP_guideBaits,F19,0,PCR_0000059,A1,20
CD197-1R,pSCIP_guideBaits,C13,0,PCR_0000059,A1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000059,A1,40
pSCIP_CD69-1_gB_v1,E_pSCIP_coloniesinwater_384PP,A2,0,PCR_0000059,B1,800
CD69-1BR,pSCIP_guideBaits,F4,0,PCR_0000059,B1,20
CD69-1R,pSCIP_guideBaits,B22,0,PCR_0000059,B1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000059,B1,40
pSCIP_CD197-1_gB_v2,E_pSCIP_coloniesinwater_384PP,A3,0,PCR_0000059,C1,800
CD197-1BR,pSCIP_guideBaits,F19,0,PCR_0000059,C1,20
CD197-1R,pSCIP_guideBaits,C13,0,PCR_0000059,C1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000059,C1,40
pSCIP_CD69-1_gB_v2,E_pSCIP_coloniesinwater_384PP,A4,0,PCR_0000059,D1,800
CD69-1BR,pSCIP_guideBaits,F4,0,PCR_0000059,D1,20
CD69-1R,pSCIP_guideBaits,B22,0,PCR_0000059,D1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000059,D1,40
pSCIP_CD197-1_gB_v3,E_pSCIP_coloniesinwater_384PP,A5,0,PCR_0000059,E1,800
CD197-1BR,pSCIP_guideBaits,F19,0,PCR_0000059,E1,20
CD197-1R,pSCIP_guideBaits,C13,0,PCR_0000059,E1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000059,E1,40
pSCIP_CD69-1_gB_v3,E_pSCIP_coloniesinwater_384PP,A6,0,PCR_0000059,F1,800
CD69-1BR,pSCIP_guideBaits,F4,0,PCR_0000059,F1,20
CD69-1R,pSCIP_guideBaits,B22,0,PCR_0000059,F1,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000059,F1,40
