Part,Source Plate Name,Source Well,Destination ID,Destination Plate Name,Destination Well,Volume
Pr_000164,Plate_0000001,D4,3,PCR_0000071,A1,250
Pr_000165,Plate_0000001,D3,3,PCR_0000071,A1,250
Pd_000001,Plate_0000001,D5,3,PCR_0000071,A1,200
Pr_000164,Plate_0000001,D4,3,PCR_0000071,B1,250
Pr_000165,Plate_0000001,D3,3,PCR_0000071,B1,250
Pd_000001,Plate_0000001,D5,3,PCR_0000071,B1,200
Pr_000003,Plate_0000001,A4,3,PCR_0000071,C1,2500
Pr_000004,Plate_0000006,A4,3,PCR_0000071,C1,250
Pd_000002,Plate_0000001,D7,3,PCR_0000071,C1,400
Pr_000003,Plate_0000001,A4,3,PCR_0000071,D1,2500
Pr_000004,Plate_0000006,A4,3,PCR_0000071,D1,250
Pd_000002,Plate_0000001,D7,3,PCR_0000071,D1,400
Pr_000003,Plate_0000001,A4,3,PCR_0000071,E1,2500
Pr_000004,Plate_0000006,A4,3,PCR_0000071,E1,250
Pd_000002,Plate_0000001,D7,3,PCR_0000071,E1,400
